数据集标识,风场名称,数据粒度,数据数量,所属数据集,Onshore/Offshore,位置（纬度，经度）,基座海拔,气候类型,气候特点,风机型号,参数性质,机组总数,风场额定功率_MW,额定功率计算式_MW,容量计算精度,参考机型数,叶轮直径_m,叶轮直径_规格数,叶轮直径_各规格机组数,叶片长_m,叶片长_规格数,叶片长_各规格机组数,轮毂高_m,轮毂高_规格数,轮毂高_各规格机组数
NREL_WTK_site110712_Michigan-LakeMichigan_class2_2MW_2007-2013,Michigan-LakeMichigan_class2,15 min,245472,NREL WTK,Onshore,"45.52145, -86.739807",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site111362_Montana-Carter_class1_10MW_2007-2013,Montana-Carter_class1,15 min,239230,NREL WTK,Onshore,"45.750786, -104.22403",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site114665_Offshore-LakeHuron_offshore_16MW_2007-2013,Offshore-LakeHuron_offshore,15 min,184559,NREL WTK,Offshore,"46.113686, -82.976746",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site116754_Vermont-Essex_class3_14MW_2007-2013,Vermont-Essex_class3,15 min,203674,NREL WTK,Onshore,"44.701637, -71.744263",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site117612_Oregon-Morrow_class3_14MW_2007-2013,Oregon-Morrow_class3,15 min,134555,NREL WTK,Onshore,"45.158546, -119.407898",N/A (site elevation unavailable); hub height 100 m agl,Warm-summer Mediterranean continental climate,"Warm, dry summers (20-26 degC) and cold, snowy winters (-8 to 0 degC). Precipitation 400-700 mm/year with pronounced dry summer. Mountain-valley wind circulations and downslope winds dominate local wind patterns. Wind resource highly terrain-dependent; ridge-top sites have excellent resource while valley-floor sites are sheltered. Chinook winds produce sudden high-wind events.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site117971_NorthDakota-Dunn_class2_10MW_2007-2013,NorthDakota-Dunn_class2,15 min,196451,NREL WTK,Onshore,"47.423943, -102.958069",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site118282_NewHampshire-Coos_class3_12MW_2007-2013,NewHampshire-Coos_class3,15 min,178757,NREL WTK,Onshore,"44.983944, -71.260315",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 6台
BANC DE GUERANDE 1,BANC DE GUERANDE 1,30 min,47559,ENTSOE,Offshore,"47.160806, -2.628139",0 m (sea level),Oceanic climate,Prevailing westerly and northwesterly winds dominate due to frequent Atlantic depressions moving across western Europe. Wind speeds moderate to relatively strong with highest wind energy potential in autumn and winter when pressure gradients intensify over the Atlantic. Mild temperatures and regular marine airflow support stable air density and consistent wind availability.,GE Vernova Haliade 150-6,实际机组型号,40,240.0,40×6,按表中机组数,0,150,1,150 m: 40台,73.5,1,73.5 m: 40台,100,1,100 m: 40台
BANC DE GUERANDE 2,BANC DE GUERANDE 2,30 min,47457,ENTSOE,Offshore,"47.160806, -2.628139",0 m (sea level),Oceanic climate,Prevailing westerly and northwesterly winds dominate due to frequent Atlantic depressions moving across western Europe. Wind speeds moderate to relatively strong with highest wind energy potential in autumn and winter when pressure gradients intensify over the Atlantic. Mild temperatures and regular marine airflow support stable air density and consistent wind availability.,GE Vernova Haliade 150-6,实际机组型号,40,240.0,40×6,按表中机组数,0,150,1,150 m: 40台,73.5,1,73.5 m: 40台,100,1,100 m: 40台
BOWLW-1,BOWLW-1,30 min,85069,ENTSOE,Offshore,"53.981694, -3.283000",0 m (sea level),Oceanic climate,"Persistent westerly winds associated with Atlantic low-pressure systems. Wind speeds moderate to relatively strong with highest wind energy potential occurring in autumn and winter when frontal activity increases. Maritime climate produces mild temperatures and limited seasonal variability, supporting stable atmospheric conditions for wind power generation.",Vestas V90/3000 Offshore,实际机组型号,30,90.0,30×3,按表中机组数,0,90,1,90 m: 30台,44,1,44 m: 30台,75,1,75 m: 30台
BRBEO-1,BRBEO-1,30 min,53305,ENTSOE,Offshore,"53.491694, -3.200194",0 m (sea level),Oceanic climate,Prevailing westerly winds generated by frequent Atlantic low-pressure systems. Wind speeds moderate to relatively strong with peak wind energy availability in autumn and winter when pressure gradients intensify. Mild temperatures and high humidity create stable maritime atmospheric conditions with relatively consistent wind occurrence.,MHI Vestas V164-8.0,实际机组型号,32,256.0,32×8,按表中机组数,0,164,1,164 m: 32台,80,1,80 m: 32台,105,1,105 m: 32台
BRDUW-1,BRDUW-1,30 min,84031,ENTSOE,Onshore,"53.226694, -4.485583",94 m,Oceanic climate,"Frequent strong westerly winds driven by Atlantic depressions moving across the British Isles. Wind speeds moderate to high year-round with strongest and most persistent winds occurring in autumn and winter when pressure gradients intensify over the North Atlantic. Maritime environment maintains mild temperatures and high humidity, supporting relatively stable and reliable wind resources.",Vestas V80-2.0,实际机组型号,36,72.0,36×2,按表中机组数,0,80,1,80 m: 36台,39,1,39 m: 36台,60,1,60 m: 36台
BRYBW-1,BRYBW-1,30 min,86078,ENTSOE,Onshore,"57.6098, -3.6199",N/A,Temperate oceanic climate,"Moderate winds, primarily from the west, with higher speeds in winter when Atlantic low-pressure systems dominate. Wind availability moderately consistent; calm periods possible in summer. Mild temperatures with low seasonal variation provide stable conditions for turbine operation.",Enercon E70/2300,实际机组型号,29,66.7,29×2.3,按表中机组数,0,71,1,71 m: 29台,,0,未知尺寸: 29台,≈69,1,69 m: 29台
BURBW-1,BURBW-1,30 min,82351,ENTSOE,Offshore,"53.491694, -3.200194",0 m (sea level),Oceanic climate,Prevailing westerly winds generated by frequent Atlantic low-pressure systems. Wind speeds moderate to relatively strong with peak wind energy availability in autumn and winter when pressure gradients intensify. Mild temperatures and high humidity create stable maritime atmospheric conditions with relatively consistent wind occurrence.,Siemens SWT-3.6-107,实际机组型号,25,90.0,25×3.6,按表中机组数,0,107,1,107 m: 25台,52,1,52 m: 25台,83.5,1,83.5 m: 25台
CLDNW-1,CLDNW-1,30 min,85941,ENTSOE,Onshore,"55.444971, -3.598597",486 m,Temperate oceanic climate,"Moderate to strong westerly winds, especially in autumn and winter, driven by Atlantic low-pressure systems. Wind speeds generally high with strong wind resource and fewer calm periods during winter months. Moderate temperature range with mild winters and cool summers, promoting stable wind turbine operation.",Siemens SWT-2.3-82 VS,实际机组型号,96,220.8,96×2.3,按表中机组数,0,82.4,1,82.4 m: 96台,40,1,40 m: 96台,80,1,80 m: 96台
CLDSW-1,CLDSW-1,30 min,78244,ENTSOE,Onshore,"55.467194, -3.654417",320 m,Temperate oceanic climate,"Persistent westerly winds generated by frequent North Atlantic low-pressure systems. Wind speeds generally moderate to high with peak wind energy potential in autumn and winter when pressure gradients strengthen. Maritime climate maintains cool summers, mild winters, and relatively stable air density, supporting reliable wind availability.",Siemens SWT-2.3-82 VS,实际机组型号,56,128.8,56×2.3,按表中机组数,0,82.4,1,82.4 m: 56台,40,1,40 m: 56台,80,1,80 m: 56台
GRGBW-1,GRGBW-1,30 min,85799,ENTSOE,Offshore,"51.904200, 1.928400",0 m (sea level),Temperate maritime climate,"Moderate winds, primarily from the west and southwest, with wind speeds higher in winter months due to low-pressure systems. Wind availability consistent with some seasonal variation; fewer extreme wind speeds compared to more exposed coastal regions. Precipitation moderate and distributed evenly throughout the year.",Siemens SWT-3.6-107,实际机组型号,47,169.2,≈47×3.6,近似机组数,0,107,1,107 m: 47台,52,1,52 m: 47台,78,1,78 m: 47台
GRGBW-2,GRGBW-2,30 min,86550,ENTSOE,Offshore,"51.904200, 1.928400",0 m (sea level),Temperate maritime climate,"Moderate winds, primarily from the west and southwest, with wind speeds higher in winter months due to low-pressure systems. Wind availability consistent with some seasonal variation; fewer extreme wind speeds compared to more exposed coastal regions. Precipitation moderate and distributed evenly throughout the year.",Siemens SWT-3.6-107,实际机组型号,47,169.2,≈47×3.6,近似机组数,0,107,1,107 m: 47台,52,1,52 m: 47台,78,1,78 m: 47台
GRGBW-3,GRGBW-3,30 min,86134,ENTSOE,Offshore,"51.904200, 1.928400",0 m (sea level),Temperate maritime climate,"Moderate winds, primarily from the west and southwest, with wind speeds higher in winter months due to low-pressure systems. Wind availability consistent with some seasonal variation; fewer extreme wind speeds compared to more exposed coastal regions. Precipitation moderate and distributed evenly throughout the year.",Siemens SWT-3.6-107,实际机组型号,46,165.6,≈46×3.6,近似机组数,0,107,1,107 m: 46台,52,1,52 m: 46台,78,1,78 m: 46台
LKBONNY1,LKBONNY1,5 min,105120,AEMO,Onshore,"-37.783085, 140.406006",24 m,Temperate Mediterranean–semi-arid transitional climate,"Moderate to strong westerly and southwesterly winds associated with Southern Ocean frontal systems. Wind speeds typically higher in winter and spring when mid-latitude cyclones strengthen regional pressure gradients. Summers drier and warmer with more stable high-pressure systems, resulting in somewhat reduced wind frequency compared with the cooler months.",Vestas V66/1750,实际机组型号,46,80.5,46×1.75,按表中机组数,0,66,1,66 m: 46台,32,1,32 m: 46台,60,1,60 m: 46台
LKBONNY2,LKBONNY2,5 min,105120,AEMO,Onshore,"-37.783085, 140.406006",24 m,Temperate Mediterranean–semi-arid transitional climate,"Moderate to strong westerly and southwesterly winds associated with Southern Ocean frontal systems. Wind speeds typically higher in winter and spring when mid-latitude cyclones strengthen regional pressure gradients. Summers drier and warmer with more stable high-pressure systems, resulting in somewhat reduced wind frequency compared with the cooler months.",Vestas V90/3000,实际机组型号,53,159.0,53×3,按表中机组数,0,90,1,90 m: 53台,44,1,44 m: 53台,80,1,80 m: 53台
LKBONNY3,LKBONNY3,5 min,105120,AEMO,Onshore,"-37.783085, 140.406006",24 m,Temperate Mediterranean–semi-arid transitional climate,"Moderate to strong westerly and southwesterly winds associated with Southern Ocean frontal systems. Wind speeds typically higher in winter and spring when mid-latitude cyclones strengthen regional pressure gradients. Summers drier and warmer with more stable high-pressure systems, resulting in somewhat reduced wind frequency compared with the cooler months.",Vestas V90/3000,实际机组型号,13,39.0,13×3,按表中机组数,0,90,1,90 m: 13台,44,1,44 m: 13台,80,1,80 m: 13台
SNOWNTH1,SNOWNTH1,5 min,105120,AEMO,Onshore,"-33.731722, 138.135194",120 m,Semi-arid climate,Moderate prevailing winds mainly from the west and southwest associated with mid-latitude westerlies and passing frontal systems. Wind speeds generally increase during winter and spring when pressure gradients strengthen across southern Australia. Summers hot and dry with more persistent high-pressure systems.,Siemens SWT-3.0-101,实际机组型号,23,69.0,23×3,按表中机组数,0,101,1,101 m: 23台,49,1,49 m: 23台,80,1,80 m: 23台
SNOWSTH1,SNOWSTH1,5 min,105120,AEMO,Onshore,"-33.731722, 138.135194",120 m,Semi-arid climate,Moderate prevailing winds mainly from the west and southwest associated with mid-latitude westerlies and passing frontal systems. Wind speeds generally increase during winter and spring when pressure gradients strengthen across southern Australia. Summers hot and dry with more persistent high-pressure systems.,Siemens SWT-3.0-108,实际机组型号,67,201.0,67×3,按表中机组数,0,108,1,108 m: 67台,53,1,53 m: 67台,80,1,80 m: 67台
huaneng,huaneng,1 min,NaN,huaneng,Onshore,N/A (not provided in config),300 m (base elevation),Temperate continental (per config),Per config file annotation only; details to be completed.,2 MW direct-drive,实际机组型号,50,100.0,50×2,按表中机组数,0,,0,未知尺寸: 50台,,0,未知尺寸: 50台,,0,未知尺寸: 50台
